ResponseId,PID,HS_1,HS_2,HS_3,FM_1,FM_2,GM_1,GM_2,Dif_import1,Dif_import2,Dif_impos1,Dif_impos2,Country,Age,Sex,Ethnicity,Language
R_PXnVVhotQiyYonf,611c1e55a538e94547cf17cf,2,2,3,4,2,3,4,5,5,4,3,Germany,23,Female,Asian,German
R_2P71bguBgpTQ0KS,642d628653d696960ce09a7c,2,6,6,3,3,4,4,5,5,1,5,Germany,20,Female,Mixed,English
R_3EEAd0wMVQIASxe,64551e36bc476bab4d8571da,4,4,5,1,1,3,3,3,3,1,2,Germany,23,Female,White,German
R_egjdIh9XsO2Uxyx,643ec5826a2b97f107137b82,2,4,4,4,5,3,3,3,4,2,2,Germany,19,Male,White,German
R_5sEvA4y0twGKPGp,644961bd81545e211907b654,2,3,2,5,6,2,2,4,6,1,1,Germany,32,Male,White,German
R_D0rae7lFf2f6vpT,644ce8c554ecbb7a57adf79a,3,5,5,2,5,2,3,2,5,2,1,Germany,19,Male,White,German
R_UtBMOthVqDSN7H3,645263dd58c9ef0a1097fee3,3,1,5,2,1,4,5,3,3,2,2,Germany,22,Female,White,German
R_2w1DTBEFdFnskV6,642fda210203a564f1839077,2,4,2,2,2,6,6,5,5,4,3,Germany,23,Male,White,German
R_3iRv5SpOQTp7TjI,6426e08aeb8bbbe548338546,2,3,4,2,3,4,4,2,4,2,2,Germany,20,Male,White,German
R_238GwZX4rg8Mj6L,642bb10727bfa9658a73330a,2,2,1,1,1,4,4,2,4,2,2,Germany,33,Male,White,German
R_7UJrpezihG4GMEx,643de4602d8abc2605ab2045,1,4,3,2,2,4,4,4,3,3,4,Germany,19,Male,White,German
R_3KO9hEKUsa2FQoJ,63fce1d62af707fa9a407725,4,6,4,2,3,4,4,3,3,1,1,Germany,23,Male,White,German
R_3KGyndJZUijxaSj,64047916b3cf7fb4b608f05e,6,3,5,6,6,1,1,1,5,2,1,Germany,20,Male,White,German
R_2BtVs8BNLuhOQbR,5df297f57f08ed1a6b6c5a0c,1,3,1,4,4,3,3,4,4,1,4,Germany,23,Female,White,German
R_2fBctRzRlO6xQsK,637fdd5f104309626bb377f8,5,1,6,5,6,1,1,2,5,2,2,Germany,22,Female,White,German
R_1FsxJqkdvIcNroo,5ec53e7fdefeea4b0e1f3e4f,3,4,5,3,4,4,4,4,3,5,3,Germany,21,Female,White,German
R_3PnVaT45tfpPsyP,6432bd53be7f749c2dd61f22,4,5,3,3,2,3,4,4,4,1,2,Germany,20,Female,White,German
R_d6JdyeJMHVugX2p,5c9b4f2f9ca7f60001256bcf,4,4,2,1,1,6,5,3,2,2,2,Germany,28,Male,White,German
R_20SZfSuhczZknuP,63bd965ba99fe78b86ef4ac2,5,5,4,4,3,3,3,4,3,2,1,Germany,25,Female,Asian,German
R_Winaeb0Eb4PauRj,6166edc246eafff2d044299d,3,2,3,3,3,4,4,3,3,4,3,Germany,31,Female,White,German
R_3LbibU8uNpvaZMp,642eedd32f80b1119b78910f,5,3,5,2,2,4,4,3,5,2,2,Germany,22,Female,White,German
R_3Gj22jhi9XnfKvp,63eb8a043a0ad9762fcf6265,5,3,5,2,3,4,4,5,4,2,2,Germany,27,Female,White,German
R_2AXRSqzTBcdDKkS,6456a3d9cc8a2f218dd2ae64,3,4,3,3,4,2,4,4,3,2,2,Germany,26,Male,Mixed,German
R_1myppsvHX7WOYMz,6435d9286bfeedf138d25972,1,3,2,1,1,6,6,2,1,1,1,Germany,22,Male,White,German
R_XOiKICnW72kVQE9,627f747144563bc57724b4a6,2,3,3,2,2,5,4,4,5,2,2,Germany,34,Male,White,German
R_3fuF3MhfkDfNJwy,63f3a8e08f5324e0846faa59,3,4,4,3,4,4,4,1,2,3,2,Germany,27,Female,Mixed,German
R_8jJPIXn7kPYjap3,64398d92413407626e99aae5,3,4,3,4,4,4,3,4,3,3,4,Germany,18,Male,White,German
R_2X1Dl6wqHLRKqXk,63c555b61892effbe28575b8,2,3,3,3,3,3,4,2,3,2,2,Germany,19,Male,Mixed,German
R_24k5fYO88BBKmYY,631f27bf2da04850cf83f64f,6,3,5,2,3,5,4,3,3,3,3,Germany,19,Male,White,German
R_aWvEYeGAuOL8pBT,6436d230093ad5ad76de994b,5,5,5,3,2,2,3,4,4,2,1,Germany,23,Male,White,German
R_1JOzCVvsJS6IWXe,60beb1657520f1e69477a90f,3,1,1,4,4,4,3,4,3,5,5,Germany,26,Female,White,German
R_29uArHomGKi9oOf,64388d09ae050f39a25ad676,2,2,3,4,4,2,2,4,2,3,3,Germany,23,Male,White,German
R_0pJtmzM0v7s0V8d,643b361c1275a072e1e3130c,5,6,6,4,5,2,3,2,3,2,2,Germany,19,Male,White,German
R_33jxZtKCP3FtxuW,63b6f0b8ad329f3c485c4eba,4,4,5,3,4,4,2,3,3,2,1,Germany,25,Female,White,German
R_errWpOBNPJkuZaN,63fbb39dc18cf8a21c6a9bfe,1,1,1,1,1,6,6,2,3,1,2,Germany,22,Male,White,German
R_3hg5Gh6ZX05ihOK,6400c3c608426d94d719eb5f,3,5,5,3,2,5,5,4,4,2,2,Germany,20,Male,White,German
R_3HH0bOxX4R8dCcu,644a340c2e2c194d7343deef,1,1,4,2,2,5,5,1,1,5,3,Germany,20,Male,Asian,Vietnamese
R_2PaEdORExcwrJKF,616be8f84341cf8e7dda2494,3,4,4,6,6,2,4,4,4,4,4,Germany,25,Female,White,German
R_22lXwT2Q4SREwye,60acc4335b890e33aca7b27e,3,3,3,4,5,2,1,2,4,2,2,Germany,22,Male,White,German
R_1iajIZGxipZJMs0,5a0af79849add9000140d8dd,4,5,2,5,5,2,2,4,4,3,4,Germany,25,Female,White,German
R_1Cpb4uLLgAOBhCm,610700f4f9547087ee11e1ca,1,4,4,2,2,5,6,4,4,2,2,Germany,27,Female,White,German
R_114UfxFK2jTPYFb,5c0f8d00367ee9000125404a,4,5,3,1,2,5,4,3,4,3,2,Germany,31,Male,White,German
R_2q8eICTgZmZwOPs,64483a04905bcd4a0e0b21e7,1,2,2,2,2,5,5,3,3,2,1,Germany,28,Male,White,German
R_1DOKeILvL1YiBG2,63468b59fa2b2ff0a83c7a6a,3,2,4,4,5,3,3,2,2,1,1,Germany,27,Female,White,German
R_2yqqGyrHaX4YumJ,5c1ec17d30f7d70001c1369c,1,1,1,3,3,3,3,4,3,2,2,Germany,27,Male,Asian,German
R_RmCbWZCwrcT7Y4x,5e5012e6ae58e406242c347b,3,5,4,4,5,2,2,2,4,1,1,Germany,30,Female,White,German
R_2qyGh3i6VYjZvtF,6426d0d228fc75af33e78fe0,1,6,6,6,4,1,4,4,1,4,2,USA,24,Male,Asian,English
R_2P6I5VToI0e5UNg,6041247f16b18a059b9e2759,3,5,3,5,3,5,5,6,5,6,5,Germany,,,,
R_1FRKCQFReT1ZECU,64019da361cbeb8bbe4795f7,1,3,6,1,4,6,4,3,4,2,1,Germany,,,,
R_yDsxTpqa19hucxj,61073a8e6fae58a66dd57b39,3,6,6,5,3,5,4,5,5,3,4,Mexico,22,Female,Other,Spanish
R_1NDDycEsoikq9T1,61453be84f4fdcbe12189aea,2,3,4,2,2,5,4,4,3,3,3,Mexico,22,Female,Mixed,Spanish
R_2wh14BgOL2eEfzr,5f04cd0c2ec97b796438f7a8,2,5,4,2,1,5,3,6,5,1,1,Mexico,29,Male,Mixed,Spanish
R_Dr5sIQ2VHIkGIcV,5ed9fe560adb8b5a860d8d80,1,2,5,2,3,6,6,5,6,3,6,Mexico,22,Female,Mixed,Spanish
R_3GiAepXgXJNVFdq,60afddbaab9ad3e949ac0114,4,5,5,3,3,4,5,2,3,2,2,Mexico,22,Female,Other,Spanish
R_1rN4kBnnCzhtYfr,613a886056265d62028d15d2,5,5,5,2,4,5,3,4,5,2,2,Mexico,23,Male,White,Spanish
R_32XahOV6pGJL33t,60495396834a3e306f18f0b1,1,5,6,1,1,6,6,6,6,1,2,Mexico,20,Female,White,Spanish
R_2tA4SDnFJ5CClqP,609d94f365954bbfe7d4f58b,5,6,5,1,1,6,5,3,4,1,3,Mexico,21,Female,White,Spanish
R_D2YTVzh7Br1Ravf,5d3fcbef55efbe001592c0b6,3,4,4,3,4,5,4,3,3,4,3,Mexico,38,Male,Mixed,Spanish
R_ZLdYvzFychONibn,613b68e36ab8e4f737db4977,5,6,3,5,5,4,2,4,5,4,5,Mexico,30,Female,Mixed,Spanish
R_2TRBlWv0Ufya14K,613a6d70222e298561d06732,3,6,5,1,2,6,6,3,6,2,2,Mexico,26,Male,Mixed,Spanish
R_5vu5sdJE5op4quB,5e9bd025eb6b380e1d66d04c,3,4,2,1,1,6,6,2,3,1,1,Mexico,23,Male,White,Spanish
R_1ojMBZUxZh8Kpfy,5c90617326e3ed00019896a5,2,4,5,5,5,6,5,5,5,6,6,Mexico,28,Male,White,Spanish
R_3h0K7CYnpLZ7WE2,609337515bc9469811c3486c,4,5,4,2,3,4,4,4,4,2,3,Mexico,22,Male,Mixed,Spanish
R_2rwSrqaSyFiEoj1,616f6ed2ead3bb59cd1397ac,2,3,3,3,4,3,3,1,2,3,3,Mexico,23,Female,Other,Spanish
R_4UXjj5IgFL88FGh,5dc436beb4c0ec30c4ca1b2c,2,6,5,4,4,5,4,5,5,2,4,Mexico,30,Male,Mixed,Spanish
R_T6DQxiQos3bH2uZ,613a98d6fcbac0ce210ec3e6,4,4,5,3,3,4,5,1,2,1,1,Mexico,22,Male,White,Spanish
R_2CEwRJ95EFO9DqY,5b94bd5e24fca300016a9425,1,2,3,2,2,5,4,5,5,2,4,Mexico,25,Male,Mixed,Spanish
R_1hQHmJPyknqpcuy,613c11ce8696b84afc0ef290,5,6,5,2,4,5,4,5,4,2,2,Mexico,23,Female,Mixed,Spanish
R_oYo2wVcgpLpMpI5,613a8cddb6da19e08e9c1b3f,5,5,5,5,1,6,6,4,5,2,1,Mexico,28,Female,Mixed,Spanish
R_21olP9jGLTaizFI,6158ac2f7e06babf5e5b87db,2,3,6,2,2,6,6,6,6,6,3,Mexico,23,Female,Other,Spanish
R_1MS9YloWD6E6ULB,616708ac607435c26d65cabf,5,4,6,1,1,6,6,1,2,3,1,Mexico,19,Female,Mixed,Spanish
R_pNb0ZPq1obsQu7n,5f4c1b5626199983e1285d83,1,5,4,3,3,6,6,4,4,2,2,Mexico,22,Female,Other,Spanish
R_2SHPzZyl9OKp2VE,60d6cf661bbe1f28e48040bd,2,3,6,2,1,6,4,4,3,3,3,Mexico,23,Male,White,Spanish
R_p9PLRbVUQyMwTAJ,5c0048442213be0001c2d579,3,4,4,3,4,4,4,4,4,2,2,Mexico,27,Male,White,Spanish
R_bacwVahjWEt5i2l,6143fce3f32125a7e2811fbd,3,5,6,5,3,5,4,5,4,4,2,Mexico,22,Male,Mixed,Spanish
R_2OHMKVG41ktwO84,611e981ff1974fc524751d25,5,6,4,1,2,6,6,4,4,1,1,Mexico,22,Female,White,Spanish
R_3f0rJQ8LE0MLl0B,5ef930974bc6e0000848aff7,1,2,2,5,5,2,2,5,5,4,5,Mexico,30,Male,Mixed,Spanish
R_ahjnsYsuAXMyyuB,613e18e92e4ed15176362aa2,5,5,4,1,3,4,5,5,4,2,1,Mexico,20,Male,Mixed,Spanish
R_10UyfhXv7xhR4I4,5e8fd165f3d8212cd90e0d4d,1,6,5,1,1,6,6,5,1,1,1,Mexico,24,Female,Mixed,Spanish
R_128RapBVhgO7PW6,613fc42e230698fc4d503a2b,3,4,4,1,1,6,5,6,5,3,1,Mexico,25,Male,Other,Spanish
R_SO7kAyc1wLVELZf,5f4310b391369a1776db2dde,2,4,3,4,4,3,3,4,4,2,2,Mexico,29,Male,Other,Spanish
R_ZKNYFc32zYqesDL,5ff649fda2b5841ceef90ff0,1,6,4,1,1,5,4,5,6,2,1,Mexico,20,Female,Mixed,English
R_DT8ezgA5EQxeEKt,60a595202752aa1fcd8e07e7,4,6,6,2,5,2,3,5,4,1,1,Mexico,26,Female,Mixed,Spanish
R_3Hw4Zj9eMWFPwmY,5e5c993cd0394c474f7cc502,3,3,2,1,1,4,5,1,4,1,1,Mexico,26,Male,Other,Spanish
R_2QXKJA2VBj4broz,60c101e4634ffb1aa797b924,1,6,2,5,1,5,5,2,4,5,5,Mexico,32,Male,White,Spanish
R_2YfFjtzB55VaJeC,6140f49855d0bb381d41eddf,2,3,2,2,4,4,5,4,4,2,3,Mexico,23,Male,Mixed,Spanish
R_xn0LjfFfPsDuoN3,613a748b1164174a301261cf,1,4,5,1,1,6,6,4,6,1,1,Mexico,26,Male,Mixed,Spanish
R_1jdjJOmQzBbGdRB,616da508e4014f74f43c8433,3,5,5,2,5,5,5,2,5,2,5,Mexico,21,Male,Mixed,Spanish
R_2V2fJqmUfuKNp2s,614ab9a1c3eb9f981b40c893,2,3,6,3,3,3,4,5,6,5,5,Mexico,27,Male,Other,Spanish
R_3MhXNz5UtM054Oo,614ac8fb3ea7756493dc3742,2,2,4,3,4,3,3,4,3,1,1,Mexico,22,Female,Mixed,Spanish
R_BDF83IdQcdOuaEp,5e8d0662babca60cd2457e75,2,5,4,4,4,5,4,3,3,3,2,Mexico,31,Male,Mixed,Spanish
R_10Ipm1GozWrKz8w,5c36b54ed4627100010c4786,5,6,5,2,2,6,5,5,5,2,2,Mexico,33,Male,Mixed,Spanish
R_3KTS0Wwyfo2uEy4,61381fc0024ffe24683c2784,5,5,5,4,4,3,3,3,3,3,2,Mexico,22,Female,Other,Spanish
R_3dGNymNJ0iQTUyu,5f48421f35c0952fbd39fcbd,3,6,2,1,2,5,2,4,4,1,1,Mexico,35,Female,Mixed,Spanish
R_TiMteqezapMEYVz,5ea26df413923f18749e8a91,6,5,6,1,4,6,5,5,3,1,5,Mexico,25,Female,Mixed,Spanish
R_2c3AjXdcPMKyJC9,614b56db574226da0851f05c,3,6,6,3,4,6,6,6,6,4,4,Mexico,25,Female,Mixed,Spanish
R_1GP27i2v4uLxkap,61719c5bd60f7885fceb4699,6,6,6,2,1,6,5,3,2,3,3,Mexico,22,Male,Mixed,Spanish
R_e5QOJCpEA1T5t3H,613a78cf2dfb50e6ed729c61,3,6,5,4,4,4,4,4,4,3,4,Mexico,22,Female,Mixed,Spanish
R_TjRuCINiA1ayDip,6151bc90b4b86b7b3e56189f,1,3,2,4,2,2,5,3,4,3,4,Mexico,19,Female,Other,Spanish
R_2f0CCIAzkvC7ydb,6155e324c9ecb68a99cdede9,2,3,6,1,2,6,6,2,4,2,1,Mexico,25,Male,White,Spanish
R_3PZgIDfzSJ59lDd,615e1837df2d927f6820b57d,3,6,5,2,2,6,5,5,6,2,1,Mexico,20,Female,White,Spanish
R_1rjErjLSotEJkZO,613a9e8e0795eac100d865bb,3,4,6,3,4,4,4,5,4,3,4,Mexico,21,Female,Mixed,Spanish
R_3dWU0myIlIq7kDo,60309a142458094108f37f73,1,4,5,1,3,5,4,2,5,3,4,Mexico,25,Female,Mixed,Spanish
R_1gT2ZTaZTr4BZlo,613a6c93c8ecb9b626ac35a2,1,6,6,1,1,6,6,3,3,1,1,Mexico,26,Female,Mixed,Spanish
R_2Blzz6k4oz9P5aQ,5f3c202dc59223a250d37f11,3,5,4,4,6,2,2,5,5,2,5,Mexico,29,Female,White,Spanish
R_2c5clfADnGiDvvA,5ec9955dae39ce4b4fca335b,5,4,2,1,1,6,6,1,1,1,1,Mexico,23,Male,Mixed,Spanish
R_DMgos4gBmDVDxv3,6053c980f7612d61ed799ce9,3,4,6,4,2,6,5,3,5,2,2,Mexico,22,Male,Mixed,Spanish
R_1Ic1vkfHZui6105,615b15911eb529a6ab56d854,5,5,5,3,6,3,2,2,3,2,3,Mexico,24,Male,Mixed,Spanish
R_2q1tAr6wU2SIM9G,5f80a6f92dac9e105a84b405,4,2,5,1,1,5,4,2,2,4,2,Mexico,24,Male,Other,Spanish
R_2wQs88E4tcv2vty,616109a92c2028381b488d26,2,5,6,2,2,5,4,3,3,4,5,Mexico,22,Male,White,Spanish
R_3Ec0623D9j0EiKi,613a6abd8f010ce9c87a4bc7,3,5,4,2,2,4,4,4,5,1,2,Mexico,24,Female,White,Spanish
R_2VCit6G4QsQAvxh,61608b525e4e1e9c932f1421,4,6,4,3,3,4,4,4,4,3,2,Mexico,25,Female,Mixed,Spanish
R_0eOksMQ71UG2Mmt,5dc0353028cfb7479e1f7e8d,4,5,4,4,4,4,4,2,4,3,3,Mexico,25,Female,White,Spanish
R_12DY6H1eQe6OYBZ,5bfb7a8b3db90d0001f559a8,4,4,4,4,4,1,1,1,1,2,3,Mexico,35,Female,Other,Spanish
R_0Baof1mV8HAMQZb,613a5c825fe56403fd8d13a9,4,4,4,4,4,4,4,4,4,3,3,Mexico,22,Male,White,Spanish
R_2tJw4DU27qSEwvd,613a9700bf01a93d7008c3f7,2,5,4,1,2,6,6,3,5,1,2,Mexico,24,Male,Other,Spanish
R_aVRXLcpkaa7t1rH,614399341d2f0bcb5fe49a91,3,5,6,5,4,5,6,4,5,2,2,Mexico,21,Male,White,Spanish
R_2WOpaT9zPN1zlFj,606e7d7942e4973f7ea8408e,3,6,5,1,2,5,5,5,4,2,2,Mexico,27,Male,Other,Spanish
R_sLieuxeTlpLV6M1,615e67a92bcd04cb496d647a,2,4,2,1,2,6,6,4,2,2,2,Mexico,22,Male,Other,Spanish
R_1LcmJ6PK2TbQZy9,6028556644c98e198530f83f,5,4,5,5,3,2,4,4,5,4,1,Mexico,22,Female,White,Spanish
R_3iqebQ4surHnFrm,5e9569e57ca863415e6359bc,4,4,6,1,1,6,6,5,5,1,1,Mexico,22,Male,Mixed,Spanish
R_2PBa7yKYS06zeCV,614e0a7aef8a6dd9107fb1c6,1,4,6,1,2,6,5,2,4,2,2,Mexico,30,Female,Other,Spanish
R_QamX7TlAYX1IsQF,5f3d7b3310ad88134a27f2c7,4,2,6,2,1,1,6,5,4,4,2,Mexico,31,Male,Mixed,Spanish
R_28UnmPqPujtjxUd,613a52204998013c1ad759d6,5,4,5,2,2,6,5,4,5,3,3,Mexico,26,Female,Mixed,Spanish
R_3nUvjEtVqF5Quhl,612eb19f8a38f5cbf48d287a,1,5,6,3,4,6,6,6,6,4,6,Mexico,21,Female,White,Spanish
R_2SqW0y97b6kcTqv,5f19dc86afa07c0894f60578,1,5,5,1,1,5,5,3,3,2,2,Mexico,23,Male,White,Spanish
R_z1lDZaobAkO3MIh,5e45ad5adb671e0952ec6b86,6,6,2,1,1,6,6,4,4,1,1,Mexico,28,Female,Other,Spanish
R_21GkYgeQ3S1Qj0k,5eb202e64441603692ca7d2c,2,6,2,4,2,5,5,5,5,3,4,Mexico,31,Female,Mixed,Spanish
R_2y91q6kTCgvRN3Y,5f55136768e37c8a6616bb09,3,4,3,2,3,4,4,3,3,3,3,Mexico,25,Female,Other,Spanish
R_3niUHxXOT8aqhIH,611176c648be062acf123468,4,5,4,2,3,4,4,4,5,2,1,Mexico,25,Male,Mixed,Spanish
R_3rYU5BnzH4Ayzb5,614fb62d27185da9cc2a9a24,3,5,5,4,6,4,5,5,4,4,4,Mexico,28,Female,Other,Spanish
R_2Qhp613rDT2k10C,61764d66dde556a8e0d03c14,3,2,3,4,5,4,4,4,4,5,4,Mexico,22,Male,White,Spanish
R_25bNhPy9YN0UzhT,5f08f3e3ff3278174e40069b,3,6,6,1,2,5,5,4,4,1,2,Mexico,24,Male,Mixed,Spanish
R_tS8MM4bu0kWFvxL,613a73698cc7d9c7b60930cd,2,4,6,1,1,6,6,4,3,1,3,Mexico,27,Female,Other,Spanish
R_22XHtb5ZzmEf9XA,6047b38939f7610352261d47,1,4,2,2,2,5,5,5,6,2,2,Mexico,34,Male,White,Spanish
R_2AZK2hp30N9znNp,613bbe37bb5e6fa81c182308,2,3,2,1,1,6,5,3,1,1,1,Mexico,26,Female,Other,Spanish
